timestamp,message,seq_num,resource,event
0.000000000,mom,0,cashier,pipe.in
0.000000000,single,0,cashier,pipe.in
0.000000000,mom,0,cashier,pipe.out
38.835903268,mom,0,cashier,resource.serve
38.835903268,single,0,cashier,pipe.out
81.183297661,mom,1,cashier,pipe.in
100.632210656,single,0,cashier,resource.serve
100.632210656,mom,1,cashier,pipe.out
139.005069969,mom,2,cashier,pipe.in
154.612825420,mom,3,cashier,pipe.in
163.862877549,mom,4,cashier,pipe.in
194.452495418,mom,5,cashier,pipe.in
210.003343961,mom,1,cashier,resource.serve
210.003343961,mom,2,cashier,pipe.out
211.826656151,mom,6,cashier,pipe.in
259.870352108,mom,2,cashier,resource.serve
259.870352108,mom,3,cashier,pipe.out
299.642775394,mom,7,cashier,pipe.in
339.661626687,mom,3,cashier,resource.serve
339.661626687,mom,4,cashier,pipe.out
386.746386200,mom,8,cashier,pipe.in
439.287497527,mom,4,cashier,resource.serve
439.287497527,mom,5,cashier,pipe.out
464.910712567,mom,9,cashier,pipe.in
475.188818875,mom,10,cashier,pipe.in
506.217104339,mom,11,cashier,pipe.in
542.998076990,mom,12,cashier,pipe.in
615.867880305,mom,5,cashier,resource.serve
615.867880305,mom,6,cashier,pipe.out
669.850115397,mom,13,cashier,pipe.in
679.068597039,mom,6,cashier,resource.serve
679.068597039,mom,7,cashier,pipe.out
694.198113722,mom,14,cashier,pipe.in
741.523476195,mom,15,cashier,pipe.in
791.184420148,mom,7,cashier,resource.serve
791.184420148,mom,8,cashier,pipe.out
869.451602275,mom,16,cashier,pipe.in
880.188835409,mom,8,cashier,resource.serve
880.188835409,mom,9,cashier,pipe.out
909.310268412,single,1,cashier,pipe.in
934.780969755,mom,17,cashier,pipe.in
966.086026253,mom,9,cashier,resource.serve
966.086026253,mom,10,cashier,pipe.out
1033.349141110,mom,18,cashier,pipe.in
1051.349932333,mom,19,cashier,pipe.in
1082.380142212,mom,10,cashier,resource.serve
1082.380142212,mom,11,cashier,pipe.out
1102.465151401,mom,11,cashier,resource.serve
1102.465151401,mom,12,cashier,pipe.out
1146.294704376,mom,12,cashier,resource.serve
1146.294704376,mom,13,cashier,pipe.out
1161.253425117,mom,20,cashier,pipe.in
1168.221105986,mom,13,cashier,resource.serve
1168.221105986,mom,14,cashier,pipe.out
1202.040254665,mom,14,cashier,resource.serve
1202.040254665,mom,15,cashier,pipe.out
1243.837790370,mom,21,cashier,pipe.in
1286.830122818,mom,15,cashier,resource.serve
1286.830122818,mom,16,cashier,pipe.out
1353.504190209,mom,22,cashier,pipe.in
1363.202398052,mom,16,cashier,resource.serve
1363.202398052,single,1,cashier,pipe.out
1427.222387209,mom,23,cashier,pipe.in
1454.511531989,single,1,cashier,resource.serve
1454.511531989,mom,17,cashier,pipe.out
1497.611418827,mom,24,cashier,pipe.in
1517.684367523,mom,25,cashier,pipe.in
1552.523726646,mom,26,cashier,pipe.in
1556.660920423,mom,17,cashier,resource.serve
1556.660920423,mom,18,cashier,pipe.out
1628.071961421,mom,18,cashier,resource.serve
1628.071961421,mom,19,cashier,pipe.out
1692.401936101,mom,19,cashier,resource.serve
1692.401936101,mom,20,cashier,pipe.out
1754.527385193,mom,27,cashier,pipe.in
1832.203043582,mom,20,cashier,resource.serve
1832.203043582,mom,21,cashier,pipe.out
1855.308075768,mom,28,cashier,pipe.in
1870.578440469,mom,29,cashier,pipe.in
1910.828757296,mom,21,cashier,resource.serve
1910.828757296,mom,22,cashier,pipe.out
1913.241471872,mom,30,cashier,pipe.in
1995.535877651,mom,31,cashier,pipe.in
2024.757165376,mom,22,cashier,resource.serve
2024.757165376,mom,23,cashier,pipe.out
2036.566748824,mom,32,cashier,pipe.in
2095.138652428,mom,33,cashier,pipe.in
2119.598778946,mom,23,cashier,resource.serve
2119.598778946,mom,24,cashier,pipe.out
2130.323192866,mom,34,cashier,pipe.in
2164.122665001,mom,35,cashier,pipe.in
2225.245117132,mom,36,cashier,pipe.in
2285.868737057,mom,24,cashier,resource.serve
2285.868737057,mom,25,cashier,pipe.out
2314.942330379,mom,37,cashier,pipe.in
2360.352597889,mom,38,cashier,pipe.in
2387.673692438,mom,39,cashier,pipe.in
2404.647149458,mom,25,cashier,resource.serve
2404.647149458,mom,26,cashier,pipe.out
2440.378730442,mom,40,cashier,pipe.in
2536.012513627,mom,26,cashier,resource.serve
2536.012513627,mom,27,cashier,pipe.out
2655.512655936,mom,27,cashier,resource.serve
2655.512655936,mom,28,cashier,pipe.out
2724.945293630,mom,28,cashier,resource.serve
2724.945293630,mom,29,cashier,pipe.out
2770.586778290,mom,41,cashier,pipe.in
2800.321925181,mom,29,cashier,resource.serve
2800.321925181,mom,30,cashier,pipe.out
2826.821925946,mom,42,cashier,pipe.in
2860.556423767,mom,43,cashier,pipe.in
2884.553382979,mom,44,cashier,pipe.in
2891.115533082,mom,45,cashier,pipe.in
2936.241637681,mom,30,cashier,resource.serve
2936.241637681,mom,31,cashier,pipe.out
2984.961094742,mom,31,cashier,resource.serve
2984.961094742,mom,32,cashier,pipe.out
3003.120066343,mom,46,cashier,pipe.in
3038.243639507,mom,47,cashier,pipe.in
3058.746354920,mom,48,cashier,pipe.in
3059.211951149,mom,49,cashier,pipe.in
3070.804817043,mom,50,cashier,pipe.in
3077.429640822,mom,32,cashier,resource.serve
3077.429640822,mom,33,cashier,pipe.out
3108.038011640,mom,33,cashier,resource.serve
3108.038011640,mom,34,cashier,pipe.out
3116.436742500,mom,51,cashier,pipe.in
3121.972205265,mom,52,cashier,pipe.in
3126.886933189,mom,53,cashier,pipe.in
3141.915664380,mom,54,cashier,pipe.in
3158.088031277,mom,55,cashier,pipe.in
3189.329488109,mom,34,cashier,resource.serve
3189.329488109,mom,35,cashier,pipe.out
3193.838943511,mom,56,cashier,pipe.in
3255.920848006,mom,57,cashier,pipe.in
3300.303489982,mom,58,cashier,pipe.in
3327.447267248,mom,59,cashier,pipe.in
3356.851474238,mom,60,cashier,pipe.in
3397.131335917,mom,35,cashier,resource.serve
3397.131335917,mom,36,cashier,pipe.out
3425.011208982,mom,61,cashier,pipe.in
3433.294677117,mom,62,cashier,pipe.in
3461.647124258,mom,36,cashier,resource.serve
3461.647124258,mom,37,cashier,pipe.out
3499.835601957,mom,63,cashier,pipe.in
3541.035278963,mom,37,cashier,resource.serve
3541.035278963,mom,38,cashier,pipe.out
3576.467579066,mom,64,cashier,pipe.in
3582.239308958,mom,65,cashier,pipe.in
3620.060630710,mom,38,cashier,resource.serve
3620.060630710,mom,39,cashier,pipe.out
3712.189379585,mom,39,cashier,resource.serve
3712.189379585,mom,40,cashier,pipe.out
3742.200789862,mom,66,cashier,pipe.in
3839.102422737,mom,40,cashier,resource.serve
3839.102422737,mom,41,cashier,pipe.out
3921.104020067,mom,41,cashier,resource.serve
3921.104020067,mom,42,cashier,pipe.out
3996.099012398,mom,42,cashier,resource.serve
3996.099012398,mom,43,cashier,pipe.out
